address,price,bedrooms,bathrooms,property_type,area,county,features,date_of_construction
"15 Greystones, Blackstone Bridge, Killeens, Co. Cork, T23V068",475000,5,3,Detached,killeens-cork,Cork,"Spacious Detached Home , Outdoor dining area to the side , Spacious driveway , B2 Energy Rating , PVC Double Glazed Windows , Oil Central Heating , Detached concrete built garage to the side , 2 Ensuites , Close to Cork City Centre ",2005
"11 Crannagh Way, Rathfarnham, Churchtown, Dublin 14, D14P9P5",1050000,4,3,Detached,churchtown-dublin,Dublin,,1997
"91 Rathgar Road, Rathgar, Dublin 6, D06F688",1250000,8,5,Terrace,rathgar-dublin,Dublin,"Rental  POTENTIAL income circa 141,600 per annum subject to complying with a RTB regulations., Prime Location. , Easy Access points, Well serviced transport area., Three 2 bedroom apartments, two 1 bedroom apartments.",0
"13 Deerpark Road, Castleknock, Dublin 15, D15X86P",1675000,5,2,Detached,castleknock-dublin,Dublin,"5 Bedroom detached family home on large grounds ",1970
"Kilshanny, Island Lane, Ballinakill, Waterford, X91K6VH",800000,6,4,House,knockboy-waterford,Waterford,"6 Bedrooms, Entrance Hall, Dining Area, Living Room, Kitchen/Diner, Utility Room, Conservatory, Office, Main Bathroom, En-Suite",1978
"75 Lee Drive, Ballinorig, Tralee, Co. Kerry, V92XR5V",269000,4,3,"End of Terrace",tralee-kerry,Kerry,,0
"Currinara, Foxford, Co Mayo, F26E8D5",495000,4,0,Detached,foxford-mayo,Mayo,"High quality finish throughout., Thoughtfully landscaped gardens with a rockery to the rear., Built-in Garden BBQ., Waterfall to the rear of the property., Patio to the front., Oil-fired central heating., Off-street parking for a number of cars., Large double garage to the side., Fantastic views all around., Close to Foxford",2000
"Moorepark House, Moorepark, Garristown, Co. Meath, A42D653",950000,6,3,Detached,garristown-meath,Meath,"Architecturally designed,  stone built, charming country home with spacious and luxury living accommodation., Built 2000 with style, grace, imagination and attention to detail., c.1 acres of mature gardens with a large parking area and sun-trap deck., Tranquil country setting., 10 Minutes from Ashbourne Town and the M2. 2 mins drive from Garristown village., Close to the local shop/ petrol station, country pubs and national schools, coffe shop, library, church and golf clubs etc, c.25 mins drive of Dublin Airport., Oil heating, open fire, septic tank, mains water, Two large attic areas access by fitted stira stairs",2000
"19 Doctor Mannix Road, Salthill, Co. Galway, H91W9HE",900000,7,3,Semi-D,salthill-galway,Galway,"Large semi-detached residence, Double-fronted with abundance of accommodation, Corner site position, Dual access, Spacious private gardens, Popular residential location of Salthill, Easy access to local shops & sporting facilities, Short walk to Salthill Village & Promenade, Close to several Primary & Secondary Schools, Easy accessto Galway University, UCHG & City Centre",1964
"87 Garran Ard, Doughiska, Co. Galway, H91RWE1",380000,5,6,"End of Terrace",doughiska-galway,Galway,"Superbly presented 5 bed end of terrace, Popular & sought after residential location, 5 bedrooms all with ensuites & built in wardobes, Private rear garden & parking available to front, Walking distance of Merlin Woods NS & Merlin College, Minutes from Galway Clinic & Merlin Park Hospital, Close to several business parks & shopping areas, Well serviced by local amenities & sports facilities, Daily bus services to & from Galway City located nearby, Easy access to the M6 & M18 motorways and Oranmore",2003
"26 The Orchards, Tullow Road, Carlow Town, Co. Carlow, R93FP89",359950,4,2,Bungalow,carlow-town-carlow,Carlow,"Great location & close too many local amenities, Quite neighbourhood/area, Generously proportioned throughout, Enclosed Rear Garden with side entrance, Off Street Parking",1994
